
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_M%d.dat', M) binary matrix"

# Contour 0, label:  2.5e+03
-1.02124 0.466043 2500 
-1.01522 0.471739 2500 
-1.01087 0.475817 2500 
-1.00422 0.482107 2500 
-1.0005 0.485591 2500 
-0.993219 0.492475 2500 
-0.990134 0.495365 2500 
-0.982219 0.502843 2500 
-0.979766 0.503653 2500 
-0.970016 0.513211 2500 

